iter	Logloss
225	0.5915492185
226	0.5911954861
227	0.5908317628
228	0.5904594618
229	0.590077155
230	0.5898589572
231	0.5895598258
232	0.5892224739
233	0.5888364169
234	0.5884657935
235	0.588122041
236	0.5877636592
237	0.5874445132
238	0.5870778894
239	0.5867654362
240	0.5864123841
241	0.5860493434
242	0.5858105036
243	0.58541894
244	0.5850251
245	0.5847188794
246	0.5843574293
247	0.5840414512
248	0.5837949449
249	0.5834410739
250	0.5830643525
251	0.5826866598
252	0.5824709757
253	0.5820940896
254	0.5817699415
255	0.5814489308
256	0.5811832328
257	0.5809479108
258	0.5805864818
259	0.5802295143
260	0.5798652707
261	0.5794972929
262	0.5791905144
263	0.578989254
264	0.5786582798
265	0.5783065703
266	0.5779745957
267	0.577597404
268	0.5772658864
269	0.5769541506
270	0.5765955578
271	0.5763115976
272	0.5760317671
273	0.5756581378
274	0.5752975056
275	0.5749574277
276	0.5746201789
277	0.5743115191
278	0.5740189871
279	0.5737156546
280	0.5733303157
281	0.573135623
282	0.5728844086
283	0.5725874302
284	0.5722492917
285	0.571846593
286	0.5715460434
287	0.5712072003
288	0.5709278675
289	0.5706982604
290	0.570509925
291	0.5701802633
292	0.5698551752
293	0.5696681856
294	0.5693195302
295	0.5690730339
296	0.568750428
297	0.5684247184
298	0.5681586242
299	0.5678726931
300	0.5676782905
301	0.5673480458
302	0.5670562408
303	0.5667363666
304	0.5663765579
305	0.5660504617
306	0.5657003704
307	0.5654919011
308	0.5652611255
309	0.5649500908
310	0.5647707077
311	0.5645300997
312	0.5643236972
313	0.5641055384
314	0.5637843748
315	0.5634458333
316	0.5631278104
317	0.5628057359
318	0.5625695205
319	0.5622273985
320	0.5619663175
321	0.5616850723
322	0.5614064034
323	0.5611187691
324	0.5608550348
325	0.5604968993
326	0.5601802836
327	0.5599398147
328	0.5595416169
329	0.5592579396
330	0.558977775
331	0.5586796447
332	0.5584543365
333	0.5581705485
334	0.5578923627
335	0.5576319198
336	0.5573231266
337	0.557055042
338	0.5567320227
339	0.5563997696
340	0.5561731038
341	0.5558851442
342	0.5556586799
343	0.5553654658
344	0.5550818641
345	0.5548292966
346	0.5545519351
347	0.5542125535
348	0.553907811
349	0.5536007603
350	0.5532902488
351	0.5530118324
352	0.5526877664
353	0.5523218956
354	0.5520443156
355	0.5517680754
356	0.5515040936
357	0.5512115825
358	0.5509845975
359	0.5506861757
360	0.5504767853
361	0.5501913124
362	0.549936999
363	0.5496386201
364	0.5494816272
365	0.5492192636
366	0.5489203521
367	0.5486867738
368	0.5484038968
369	0.5481264913
370	0.5479149901
371	0.5475964576
372	0.5473792883
373	0.5471156819
374	0.5468621239
375	0.5465713934
376	0.5463532966
377	0.5460747119
378	0.5458049227
379	0.5454373611
380	0.5452864148
381	0.5450022947
382	0.5447010694
383	0.5444401146
384	0.5441792452
385	0.543921208
386	0.5436321854
387	0.5433082341
388	0.5430247999
389	0.5427133673
390	0.5424744449
391	0.5423275488
392	0.5420727497
393	0.5418351289
394	0.5416273246
395	0.541369335
396	0.5411928112
397	0.5409734241
398	0.5407624719
399	0.5405064809
400	0.5403184093
401	0.5400795194
402	0.5398255954
403	0.5397620912
404	0.5395208822
405	0.539216469
406	0.5390259614
407	0.5387372113
408	0.5385824746
409	0.5383058799
410	0.5380577801
411	0.5378207247
412	0.537623416
413	0.5373612561
414	0.537110736
415	0.5368691153
416	0.5365976939
417	0.536439087
418	0.536241331
419	0.5360470409
420	0.5358775453
421	0.5356966582
422	0.5353993454
423	0.5351809343
424	0.5349190457
425	0.5347267833
426	0.5344976063
427	0.5342214772
428	0.5340868394
429	0.5338318589
430	0.5335732203
431	0.5333295496
432	0.5330654097
433	0.5328168238
434	0.5325286
435	0.5322312668
436	0.5319537452
437	0.5317372402
438	0.5314677182
439	0.5312337197
440	0.5309992461
441	0.530724499
442	0.5304329241
443	0.5302352426
444	0.5301058478
445	0.5299305173
446	0.5297032778
447	0.5294575219
448	0.5292292577
449	0.528996933
450	0.5288092999
451	0.5286070372
452	0.5284278093
453	0.5281812303
454	0.5279518147
455	0.5277269482
456	0.5274733157
457	0.5271850973
458	0.5269303967
459	0.5267431657
460	0.5266187381
461	0.5263518932
462	0.5261467569
463	0.5259749343
464	0.5257923323
465	0.5255572206
466	0.5253433177
467	0.5251319204
468	0.5249202215
469	0.5247860322
470	0.5245597691
471	0.524367671
472	0.5242063856
473	0.5239524376
474	0.5237216638
475	0.5234723085
476	0.523211198
477	0.5230005135
478	0.5228040526
479	0.5225917744
480	0.5223778876
481	0.5221562606
482	0.5219221198
483	0.5216929001
484	0.5214475877
485	0.5212049101
486	0.5209652271
487	0.5208324275
488	0.5205335255
489	0.5203310739
490	0.520118911
491	0.5199114531
492	0.5196363182
493	0.5194114491
494	0.5191966397
495	0.5189950318
496	0.5187838966
497	0.5185708822
498	0.5184377367
499	0.5182228892
